file,title,description,canonical,h1,issues
index2.html,Saúde Natural Global,Explore e adquira produtos de saúde natural de alta qualidade. Bem-estar e vitalidade ao seu alcance.,,Cuide da sua saúde de forma natural,"missing_canonical,images_missing_alt:1"
index.html,Os Melhores Produtos Naturais + Livros Selecionados da Amazon | Saúde Natural Global,"Os Melhores Produtos Naturais + Livros Selecionados da Amazon para Sua Saúde. Curadoria confiável, ofertas exclusivas e recomendações para o seu bem-estar.",https://saudenaturalglobal.com.br/,Cuide da sua saúde de forma natural,"title_too_long,images_missing_alt:1"
guia.html,Guia de Produtos Naturais | Saúde Natural Global,"Entenda os benefícios, doses seguras e como escolher os melhores produtos naturais para sua saúde preventiva.",,"Entenda os benefícios, doses seguras e como escolher os melhores produtos naturais",missing_canonical
guia-en.html,Natural Products Guide | Saúde Natural Global,"Understand the benefits, safe dosages, and how to choose the best natural products for preventive health.",,"Understand the benefits, safe dosages, and how to choose the best natural products",missing_canonical
sobre-nos.html,Sobre Nós | Saúde Natural Global,"Conheça os agentes de propósito, validação científica e transparência da Saúde Natural Global — uma plataforma orientada por inteligência e ética em saúde preventiva.",,Sobre Nós,"missing_canonical,description_too_long"
guia-jp.html,自然製品ガイド | Saúde Natural Global,自然製品の利点、安全な摂取量、そして最適な製品の選び方を理解しましょう。,,自然製品の利点、安全な摂取量、最適な製品の選び方を理解する,missing_canonical
contador-calorias.html,Contador de Calorias - Saúde Natural Global,Contador de calorias simples e prático para acompanhar sua alimentação diária.,,Contador de Calorias,missing_canonical
artigos/imunidade-rotina-vitamina-d-zinco.html,Imunidade: o que realmente ajuda (rotina + nutrientes) | Saúde Natural Global,"Entenda o que mais impacta imunidade: sono, alimentação, vitamina D, zinco e hábitos simples. Guia direto e seguro.",https://saudenaturalglobal.com.br/artigos/imunidade-rotina-vitamina-d-zinco.html,Imunidade: rotina simples que faz diferença (e quando pensar em suplementos),title_too_long
artigos/energia-mais-disposicao-rotina.html,"Energia no dia a dia: hábitos, sono e suplementos com bom custo-benefício | Saúde Natural Global","Guia prático para ter mais disposição: sono, hidratação, alimentação e opções de suplementos com boa reputação na Amazon.",https://saudenaturalglobal.com.br/artigos/energia-mais-disposicao-rotina.html,Energia no dia a dia: como ter mais disposição com hábitos simples,title_too_long
content_pipeline/templates/article_template.html,{{TITLE}},{{DESCRIPTION}},{{CANONICAL}},{{H1}},
content_pipeline/templates/1article_template.html,{{TITLE}},{{DESCRIPTION}},{{CANONICAL}},{{H1}},
